,text,created_at,brand,sent,pos,neg,neu,compound
11,RT @nytimes: The United States Senate’s 3 black members introduced a bill that would make lynching a federal hate crime. https://t.co/7RWbn…,Sun Jul 01 22:03:33 +0000 2018,@NYtimes,"{'neg': 0.288, 'neu': 0.6, 'pos': 0.112, 'compound': -0.6597}",0.112,0.288,0.6,-0.6597
12,@DanCox05341052 @nytimes @USAGSessions @POTUS @VP @WhiteHouse @GOP @SenateMajLdr @SpeakerRyan @AandGShow @rushlimbaugh And Dan is a Bot,Sun Jul 01 22:03:31 +0000 2018,@NYtimes,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,0.0,1.0,0.0
13,@Donatelli7Bp @TylerAKing @nytimes Not how meant but yep,Sun Jul 01 22:03:23 +0000 2018,@NYtimes,"{'neg': 0.0, 'neu': 0.714, 'pos': 0.286, 'compound': 0.4215}",0.286,0.0,0.714,0.4215
14,"@nytimes The fool says...

Psalm 14:1 KJV
[1] The fool hath said in his heart, There is no God. They are corrupt, t… https://t.co/KAqBabdTe8",Sun Jul 01 22:03:21 +0000 2018,@NYtimes,"{'neg': 0.266, 'neu': 0.664, 'pos': 0.07, 'compound': -0.7096}",0.07,0.266,0.664,-0.7096
15,"@FakedRealityRUS @nytimes Hey Dope - they are illegals

That is a crime

They broke the law and avoided detection b… https://t.co/wgOqNzK8XM",Sun Jul 01 22:03:20 +0000 2018,@NYtimes,"{'neg': 0.352, 'neu': 0.648, 'pos': 0.0, 'compound': -0.8271}",0.0,0.352,0.648,-0.8271
16,RT @nytimes: Immigrant families are being charged thousands of dollars in airfare to get children out of federally contracted migrant shelt…,Sun Jul 01 22:03:19 +0000 2018,@NYtimes,"{'neg': 0.083, 'neu': 0.917, 'pos': 0.0, 'compound': -0.2023}",0.0,0.083,0.917,-0.2023
17,@nytimes Just split the department up like it was originally. INS and Customs ... too much power in one dept,Sun Jul 01 22:03:17 +0000 2018,@NYtimes,"{'neg': 0.0, 'neu': 0.884, 'pos': 0.116, 'compound': 0.3612}",0.116,0.0,0.884,0.3612
18,RT @PressHereJG: @nytimes @margalitfox I loved her obits - always learned something new and many times regretting not knowing more about th…,Sun Jul 01 22:03:13 +0000 2018,@NYtimes,"{'neg': 0.11, 'neu': 0.732, 'pos': 0.159, 'compound': 0.296}",0.159,0.11,0.732,0.296
19,@LukeDashjr @cindi_leive @nytimes Rights don't depend on what some morons interpretation of a 2 thousand year old fairy tale is either.,Sun Jul 01 22:03:11 +0000 2018,@NYtimes,"{'neg': 0.113, 'neu': 0.887, 'pos': 0.0, 'compound': -0.3182}",0.0,0.113,0.887,-0.3182
20,"RT @RoArquette: Retweeted The New York Times (@nytimes):

Immigrant families are being charged thousands of dollars in airfare to get child…",Sun Jul 01 22:03:09 +0000 2018,@NYtimes,"{'neg': 0.083, 'neu': 0.917, 'pos': 0.0, 'compound': -0.2023}",0.0,0.083,0.917,-0.2023
21,RT @nytimes: Immigrant families are being charged thousands of dollars in airfare to get children out of federally contracted migrant shelt…,Sun Jul 01 22:03:04 +0000 2018,@NYtimes,"{'neg': 0.083, 'neu': 0.917, 'pos': 0.0, 'compound': -0.2023}",0.0,0.083,0.917,-0.2023
22,@nytimes Where are the protests about the 21-23 million American children separated from their parents and families… https://t.co/y6ZaCM0CzK,Sun Jul 01 22:03:03 +0000 2018,@NYtimes,"{'neg': 0.101, 'neu': 0.899, 'pos': 0.0, 'compound': -0.2263}",0.0,0.101,0.899,-0.2263
23,"RT @NPeckumn: @nytimes @margalitfox Saw her at the @Newseum a few months ago - she was fascinating, empathetic and realized why accuracy is…",Sun Jul 01 22:03:01 +0000 2018,@NYtimes,"{'neg': 0.0, 'neu': 0.754, 'pos': 0.246, 'compound': 0.7351}",0.246,0.0,0.754,0.7351
24,RT @nytimes: Immigrant families are being charged thousands of dollars in airfare to get children out of federally contracted migrant shelt…,Sun Jul 01 22:02:58 +0000 2018,@NYtimes,"{'neg': 0.083, 'neu': 0.917, 'pos': 0.0, 'compound': -0.2023}",0.0,0.083,0.917,-0.2023
25,@conceicao_amaro @murphy_gw @ProfDeutsch @nytimes And you don’t have those freedoms because you don’t live here.,Sun Jul 01 22:02:57 +0000 2018,@NYtimes,"{'neg': 0.0, 'neu': 0.864, 'pos': 0.136, 'compound': 0.296}",0.136,0.0,0.864,0.296
26,Mexico’s Elections: What to Watch For   via @NYTimes https://t.co/Cv61Q7h3Q2,Sun Jul 01 22:02:57 +0000 2018,@NYtimes,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,0.0,1.0,0.0
27,RT @nytimes: Immigrant families are being charged thousands of dollars in airfare to get children out of federally contracted migrant shelt…,Sun Jul 01 22:02:56 +0000 2018,@NYtimes,"{'neg': 0.083, 'neu': 0.917, 'pos': 0.0, 'compound': -0.2023}",0.0,0.083,0.917,-0.2023
28,RT @nytimes: Read the reporting on pregnancy discrimination that inspired officials to act. https://t.co/VJ7OxTUvnl,Sun Jul 01 22:02:56 +0000 2018,@NYtimes,"{'neg': 0.0, 'neu': 0.802, 'pos': 0.198, 'compound': 0.4939}",0.198,0.0,0.802,0.4939
29,"RT @LipmanTweets: Dear @nytimes, unless you're sitting on a poll that nobody knows about, you have a glaring error in your a1 hed. I think…",Sun Jul 01 22:02:52 +0000 2018,@NYtimes,"{'neg': 0.107, 'neu': 0.791, 'pos': 0.103, 'compound': -0.0258}",0.103,0.107,0.791,-0.0258
30,"RT @TiemannAnne: @nytimes @Susan_Hennessey Now we hear that in addition to be in prison, families are having to pay a ransom to get them ou…",Sun Jul 01 22:02:52 +0000 2018,@NYtimes,"{'neg': 0.176, 'neu': 0.824, 'pos': 0.0, 'compound': -0.5719}",0.0,0.176,0.824,-0.5719
31,"RT @RoArquette: Retweeted The New York Times (@nytimes):

Immigrant families are being charged thousands of dollars in airfare to get child…",Sun Jul 01 22:02:48 +0000 2018,@NYtimes,"{'neg': 0.083, 'neu': 0.917, 'pos': 0.0, 'compound': -0.2023}",0.0,0.083,0.917,-0.2023
